OTU_ID	baseMean	estimate	stderror	statistic	p.value	p.adjusted	TemporalEnrichment	VC	VC.Status	ClstrComp	Order	Family	Genus	HostPhylum	HostClass	HostOrder	HostFamily	HostGenus
biochar_2303	342.921082932323	10.4712906043326	2.20649696535623	4.74566281700827	2.07824663678337e-06	6.14131223936583e-06	Apr	433_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2305	314.628915465	11.6123979821483	1.23222612757349	9.42391799873253	4.3456273567362e-21	5.20419664826951e-20	Apr	658_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2307	220.588013763376	10.3799232950166	1.94386638131866	5.33983374308636	9.30318578777492e-08	3.12358950740502e-07	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2308	400.086501096947	11.9034517877279	1.15899217499359	10.2705195466862	9.56879385263764e-25	2.26435937728817e-23	Apr	460_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_231	707.661471920544	10.5477916815932	2.4753498361299	4.26113171061275	2.03394314375124e-05	5.30079631649001e-05	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2314	1051.1099187564	-7.23066769242801	1.46287458241111	-4.9427803171687	7.70162518332325e-07	2.37532562525063e-06	Aug	467_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2319	853.185162149704	8.18846768853317	1.75993036781195	4.65272253851359	3.27580900794827e-06	9.47198733676537e-06	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2321	330.965567704297	6.07296443250824	1.84043245982098	3.29974859990187	0.000967714752128827	0.00204172627446296	Apr	575_0	Clustered	both	Caudovirales	Myoviridae	Unassigned	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio
biochar_2323	117.10589731528	29.9612764567379	3.11065707051717	9.63181597248733	5.86830849332161e-22	1.06493598302118e-20	Apr	538_0	Clustered	both	Caudovirales	Siphoviridae	Unassigned	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cellulophaga
biochar_2326	357.352050151689	-10.6817518247441	2.18529036536206	-4.88802403289519	1.01853099133459e-06	3.09323888333441e-06	Aug	79_0	Clustered	both	Caudovirales	Podoviridae	Unassigned	Proteobacteria	Gammaproteobacteria	Mixed	Mixed	Mixed
