OTU_ID	baseMean	estimate	stderror	statistic	p.value	p.adjusted	TemporalEnrichment	VC	VC.Status	ClstrComp	Order	Family	Genus	HostPhylum	HostClass	HostOrder	HostFamily	HostGenus
biochar_2056	414.15400295059	-5.02290611780801	2.25536740511886	-2.22708996609946	0.0259412616740911	0.0446129372278846	Aug	84_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2058	3649.07585149674	-1.53293198858245	0.380540393378822	-4.02830294826664	5.61809206883813e-05	0.000138601470722462	Aug	513_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2069	657.215042484762	3.14482091235355	1.40708865741402	2.23498419647073	0.0254183862790559	0.043943650855317	Apr	431_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2075	412.236233492421	11.8943700174678	1.26302652943455	9.41735564556422	4.62591131682977e-21	5.51751841741229e-20	Apr	189_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2077	48.4823025992034	-23.6797530261202	3.15362207100798	-7.50874787559803	5.969556785358e-14	3.04447396053258e-13	Aug	269_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2079	105.893599879257	-14.8073961782297	3.14469713311643	-4.70868753060342	2.4931692435846e-06	7.32352991313131e-06	Aug	200_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2080	110.086654542799	24.6172290791729	3.14469545834848	7.82817586161469	4.94999225155221e-15	2.88798364498845e-14	Apr	536_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_2083	428.003316948573	6.99111715920304	1.83517623559777	3.80950724164419	0.00013924402845608	0.000328194291771382	Apr		Singleton	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2085	36.9203617061255	21.535242627808	3.15362560756603	6.82872519050507	8.56725073122122e-12	3.66742802647646e-11	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_2086	464.843910807841	7.36225304871266	1.85975638978298	3.95871905006429	7.53528124151192e-05	0.000182550056612549	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
