OTU_ID	baseMean	estimate	stderror	statistic	p.value	p.adjusted	SpatialEnrichment	TemporalEnrichment	VC	VC.Status	ClstrComp	Order	Family	Genus	HostPhylum	HostClass	HostOrder	HostFamily	HostGenus
biochar_1098	604.646576342083	5.71719647823281	1.34629315049585	4.2466207869565	2.17018807714211e-05	0.000118878080225673	East-Enriched	NS	355_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1102	366.965935127601	6.476149243722	1.56623562258419	4.13484992317871	3.55186671795317e-05	0.000179596953020607	East-Enriched	Apr	79_0	Clustered	both	Caudovirales	Podoviridae	Unassigned	Proteobacteria	Gammaproteobacteria	Mixed	Mixed	Mixed
biochar_1109	411.45765494831	-3.98777049594726	1.41091217465857	-2.82637755033355	0.00470777394475993	0.0150563402555601	West-Enriched	NS	196_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1113	442.721362232675	4.76733091959577	1.29994390994787	3.66733586204265	0.000245090778146933	0.000930402921903156	East-Enriched	NS		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1115	963.450052051586	4.22972987424392	0.859259225815673	4.92253064868607	8.54321794750356e-07	5.51765036871518e-06	East-Enriched	NS	204_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1117	332.604199683278	6.44192325783899	1.55109187353609	4.1531538961345	3.2792403912694e-05	0.000169284346900085	East-Enriched	NS	427_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1123	390.73401881743	-13.1602071502524	1.57335099077195	-8.36444456922829	6.03987744184849e-17	1.17539193901236e-15	West-Enriched	Apr	332_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1126	238.185295402489	6.65121947432954	1.55857209233686	4.26750838606186	1.97668342650811e-05	0.000108883232320502	East-Enriched	Apr	545_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1140	225.586172426511	-14.3151759446075	1.56899369477959	-9.1237944373119	7.25390820800122e-20	2.06317889223727e-18	West-Enriched	Apr		Singleton	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1144	388.53016019262	-13.4051878293288	1.57677958788698	-8.50162440731042	1.86955871020985e-17	3.97686861744235e-16	West-Enriched	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1146	912.43580724553	5.27528815618167	0.964876485311112	5.46731963778838	4.56891720211397e-08	3.19500167466977e-07	East-Enriched	Apr	127_0	Clustered	both	Caudovirales	Podoviridae	Unassigned	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus
biochar_1148	1279.71353257958	-6.16016736099218	0.846039508114823	-7.28118167284941	3.30908693776376e-13	4.23735028653904e-12	West-Enriched	NS		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1153	698.428051685779	3.87850905756822	1.07188613335281	3.61839652261982	0.000296433978395111	0.00111134563763338	East-Enriched	Apr	165_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1154	222.05531625417	-13.5370424475083	1.57677983666043	-8.58524578560021	9.06424277351282e-18	2.03121440333719e-16	West-Enriched	Apr	537_0	Clustered	both	Caudovirales	Siphoviridae	Unassigned	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cellulophaga
biochar_1156	1477.53505855852	-5.66747306859898	1.37141578076485	-4.13257098838267	3.58727921092156e-05	0.000180769538431107	West-Enriched	NS		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1172	679.970460500806	-6.3181617797144	0.538086754173755	-11.7419017113998	7.77189395322188e-32	4.50769849286869e-30	West-Enriched	NS	489_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1176	736.183254756411	-3.71404218617382	1.52794225911572	-2.43074773540415	0.0150677013179222	0.043610822405493	West-Enriched	Apr	632_0	Clustered	biochar	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
biochar_1181	372.334323448882	3.33096617009605	1.28851475795779	2.5851206977058	0.00973449138739009	0.0295329492552819	East-Enriched	NS		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
biochar_1182	182.315455034681	-9.43301358701426	1.57231793112055	-5.99943141288965	1.98009642614129e-09	1.53730320958686e-08	West-Enriched	Apr		Outlier	NA	NA	NA	NA	NA	NA	NA	NA	NA
