,VC,Size,Internal Weight,External Weight,Quality,P-value,Min Dist,Max Dist,Total Dist,Below Thres,Taxon Prediction Score,Avg Dist,Genera,Families,Orders,Members
0,VC_0_0,3,900.0,7249.798600725655,0.11043217680494145,0.002174397523296961,4.47213595499958,7.937253933193772,3,3,1.0,6.7398798547000025,2,1,1,"Mycobacterium~phage~Ariel,Mycobacterium~phage~MiaZeal,Mycobacterium~virus~Courthouse"
1,VC_0_1,2,300.0,5508.285671750769,0.05165035209254302,0.05505544296681846,7.3484692283495345,7.3484692283495345,1,1,1.0,7.3484692283495345,1,1,1,"Mycobacterium~phage~Minerva,Mycobacterium~phage~Wanda"
2,VC_100_0,2,290.39134623626734,3760.5414699407665,0.07168505611266021,0.04577133517874535,1.4142135623730951,1.4142135623730951,1,1,1.0,1.4142135623730951,1,1,1,"Erwinia~phage~Ea9-2,Erwinia~phage~vB_EamP_Frozen"
3,VC_100_1,10,7123.401410520326,10105.841705814008,0.41344830776500696,5.1064237450910546e-26,2.8284271247461903,8.888194417315589,45,45,1.0,6.377463471966041,3,1,1,"Achromobacter~phage~JWAlpha,Achromobacter~phage~phiAxp-3,Escherichia~phage~Bp4,Escherichia~phage~ECBP1,Escherichia~phage~IME11,Escherichia~phage~N4,Escherichia~phage~vB_EcoP_G7C,Escherichia~phage~vB_EcoP_PhAPEC5,Escherichia~phage~vB_EcoP_PhAPEC7,Shigella~phage~pSb-1"
4,VC_101_0,4,935.5728825648557,4229.462590237682,0.1811358097134647,1.748360113781584e-05,3.0,6.324555320336759,6,6,1.0,5.0223412326072685,2,1,1,"Dinoroseobacter~phage~DFL12phi1,Silicibacter~phage~DSS3phi2,Sulfitobacter~phage~EE36phi1,Sulfitobacter~phage~phiCB2047-B"
5,VC_102_0,3,610.5491594688382,3128.56315360819,0.16328719448558068,0.0016571382398162529,3.3166247903554,5.477225575051661,3,3,1.0,4.597950121802354,1,1,1,"Escherichia~phage~Pollock,Salmonella~phage~FSL~SP-058,Salmonella~phage~FSL~SP-076"
6,VC_103_0,2,51.31493490297901,869.3715386646123,0.055735515157659996,0.04663470632202729,8.54400374531753,8.54400374531753,1,1,1.0,8.54400374531753,2,1,1,"Mycobacterium~phage~PegLeg,Mycobacterium~phage~Wildcat"
7,VC_104_0,8,7849.043945693682,6660.310137502572,0.5409643944649412,2.136570089891328e-18,0.0,3.605551275463989,28,28,1.0,2.499237100770987,2,2,2,"Pseudomonas~phage~DL64,Pseudomonas~phage~LIT1,Pseudomonas~phage~PEV2,Pseudomonas~phage~Pa2,Pseudomonas~phage~YH30,Pseudomonas~phage~YH6,Pseudomonas~phage~vB_PaeP_C2-10_Ab09,Pseudomonas~phage~vB_PaeP_MAG4"
8,VC_105_0,2,169.96971324237353,1644.1504996614449,0.09369264067142889,0.04586665466129805,3.872983346207417,3.872983346207417,1,1,1.0,3.872983346207417,1,1,1,"Vibrio~phage~JA-1,Vibrio~phage~phi~1"
9,VC_106_0,3,663.6394423598452,2081.8854570033986,0.2417167815574209,0.0016544194572493953,1.0,7.3484692283495345,3,3,1.0,5.209526372543351,1,1,1,"Pseudoalteromonas~phage~pYD6-A,Vibrio~phage~VBP32,Vibrio~phage~VBP47"
10,VC_107_0,2,300.0,2706.800688969998,0.0997738230872786,0.04588744182218488,1.4142135623730951,1.4142135623730951,1,1,1.0,1.4142135623730951,1,1,1,"Pseudomonas~phage~KPP21,Pseudomonas~phage~LUZ7"
11,VC_108_0,2,258.21662771181184,436.23388971897094,0.37182869222579096,0.045921542648293734,3.872983346207417,3.872983346207417,1,1,1.0,3.872983346207417,1,1,1,"Gordonia~phage~Twister6,Gordonia~phage~Wizard"
12,VC_109_0,2,300.0,11483.609867226782,0.025459091346394312,0.18403398095604595,6.708203932499369,6.708203932499369,1,1,1.0,6.708203932499369,1,1,1,"Erwinia~phage~phiEa2809,Serratia~phage~phiMAM1"
13,VC_109_1,19,51300.0,13797.26600995346,0.7880515288023948,1.069699433831297e-36,2.8284271247461903,9.433981132056603,171,136,0.7953216374269005,7.509643661629616,5,1,1,"Dickeya~phage~RC-2014,Dickeya~virus~Limestone,Escherichia~phage~ECML-4,Escherichia~phage~PhaxI,Escherichia~virus~CBA120,Klebsiella~phage~0507-KN2-1,Salmonella~phage~38,Salmonella~phage~Det7,Salmonella~phage~GG32,Salmonella~phage~Marshall,Salmonella~phage~Maynard,Salmonella~phage~SFP10,Salmonella~phage~SKML-39,Salmonella~phage~Sh19,Salmonella~phage~ViI,Salmonella~phage~vB_SalM_PM10,Salmonella~phage~vB_SalM_SJ2,Salmonella~phage~vB_SalM_SJ3,Shigella~phage~Ag3"
14,VC_10_0,9,550.2879549392428,3073.962597309677,0.1518349647757598,2.261025459175141e-16,3.3166247903554,6.708203932499369,36,36,1.0,5.714514638231015,1,2,2,"Mesorhizobium~phage~vB_MloP_Lo5R7ANS,Pelagibacter~phage~HTVC011P,Pelagibacter~phage~HTVC019P,Podovirus~Lau218,biochar_1188,biochar_1598,biochar_1803,biochar_2904,biochar_5203"
