contig	Length	B0H_BULK_S142_L006.vir.sortedIndexed.bam	B0H_BULK_S59_L006.vir.sortedIndexed.bam	B0H_VFD_S134_L006.vir.sortedIndexed.bam	B0H_VFD_S52_L006.vir.sortedIndexed.bam	B0L_BULK_S141_L006.vir.sortedIndexed.bam	B0L_BULK_S58_L006.vir.sortedIndexed.bam	B0L_VFD_S133_L006.vir.sortedIndexed.bam	B0L_VFD_S51_L006.vir.sortedIndexed.bam	B2R2H_BULK_S144_L006.vir.sortedIndexed.bam	B2R2H_BULK_S61_L006.vir.sortedIndexed.bam	B2R2H_VFD_S136_L006.vir.sortedIndexed.bam	B2R2H_VFD_S54_L006.vir.sortedIndexed.bam	B2R2L_BULK_S143_L006.vir.sortedIndexed.bam	B2R2L_BULK_S60_L006.vir.sortedIndexed.bam	B2R2L_VFD_S135_L006.vir.sortedIndexed.bam	B2R2L_VFD_S53_L006.vir.sortedIndexed.bam	B3R2H_BULK_S146_L006.vir.sortedIndexed.bam	B3R2H_BULK_S65_L006.vir.sortedIndexed.bam	B3R2H_VFD_S138_L006.vir.sortedIndexed.bam	B3R2H_VFD_S55_L006.vir.sortedIndexed.bam	B3R2L_BULK_S145_L006.vir.sortedIndexed.bam	B3R2L_BULK_S62_L006.vir.sortedIndexed.bam	B3R2L_VFD_S137_L006.vir.sortedIndexed.bam	B8R2H_BULK_S148_L006.vir.sortedIndexed.bam	B8R2H_BULK_S63_L006.vir.sortedIndexed.bam	B8R2H_VFD_S140_L006.vir.sortedIndexed.bam	B8R2H_VFD_S57_L006.vir.sortedIndexed.bam	B8R2L_BULK_S147_L006.vir.sortedIndexed.bam	B8R2L_BULK_S64_L006.vir.sortedIndexed.bam	B8R2L_VFD_S139_L006.vir.sortedIndexed.bam	B8R2L_VFD_S56_L006.vir.sortedIndexed.bam
biochar_1570	26161	0.0000	0.0000	0.0682	0.0851	0.0000	0.0000	0.0697	0.0764	0.0000	0.0000	0.0000	0.1082	0.0000	0.0000	0.0433	0.1233	0.0000	0.0000	0.1416	0.0436	0.0000	0.0000	0.0547	0.0000	0.0000	0.0479	0.0851	0.0000	0.0000	0.0348	0.0872
biochar_1571	26125	0.2837	0.0000	15.8140	14.9815	0.0889	0.0000	16.2841	13.1339	0.0000	0.0000	1.3936	5.4758	0.0000	0.0000	13.9720	13.2319	0.0066	0.0000	10.6855	5.0772	0.0000	0.0000	8.6009	0.0000	0.0000	3.2829	8.0298	0.0534	0.0000	14.2453	7.5594
biochar_1573	26119	0.0000	0.0000	0.4199	4.2100	0.0000	0.0000	0.2583	5.4804	0.0000	0.0000	0.0017	11.3346	0.0000	0.0167	2.5111	9.2854	0.0000	0.3328	2.3911	21.8533	0.0000	0.0000	0.1656	0.0000	0.0000	1.3753	8.2794	0.0000	0.0000	0.2649	4.1501
biochar_1575	26099	0.0000	0.0000	0.3624	0.0000	0.0000	0.0000	6.9153	2.3156	0.0000	0.0000	0.4007	3.6725	0.0000	0.0000	4.7204	3.3931	0.0000	0.0877	8.0230	7.2959	0.0000	0.0000	14.4737	0.0000	0.0000	3.1158	14.5190	0.0000	0.0000	3.6039	5.3904
biochar_1576	26080	0.0000	0.0000	0.3338	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1283	13.8531	0.0000	0.0000	1.0467	0.0000	0.0000	0.0000	0.2070	0.0000	0.0000	0.0000	0.4241	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6565	0.0194
biochar_1578	26022	0.0000	0.0000	0.1134	0.0159	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1649	0.0000	0.0000	0.0443	0.0850	0.0000	0.0000	0.0289	0.0621	0.0000	0.0000	0.0397	0.0000	0.0000	0.0000	0.0617	0.0000	0.0000	0.0806	0.0533
biochar_1579	26016	0.0000	0.0000	2.3675	0.0000	0.0975	0.0000	7.1315	0.1022	0.0000	0.0000	0.7421	0.0000	0.0221	0.0000	7.8477	0.0000	2.9875	0.0000	23.2587	0.6055	0.0000	0.0000	3.9428	0.0015	0.0000	5.5443	0.2556	0.0000	0.0000	2.1763	0.0000
biochar_1580	26016	0.0521	0.0000	1.0293	3.7373	0.0000	0.0000	0.9045	7.5975	0.0000	0.0000	0.1926	8.4049	0.0000	0.0000	0.5139	4.6080	0.0000	0.0000	2.7862	3.9482	0.0000	0.0000	1.8252	0.0000	0.0000	1.0479	7.8890	0.0000	0.0000	3.6966	7.0203
biochar_1581	26015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.1511	9.3415	0.0000	0.0000	0.1092	0.1412	0.0000	0.0000	0.3290	1.5387	0.0000	0.0000	0.3894	0.3618	0.0000	0.0000	0.2142	0.0000	0.0000	1.9966	0.5230	0.0000	0.0000	0.0000	0.0000
biochar_1582	26015	0.0000	0.0000	5.3944	8.8403	0.0000	0.0000	2.3476	9.6500	0.0000	0.0000	0.3706	9.5875	0.0000	0.0000	3.1059	8.0369	0.0000	0.0000	4.2185	6.0357	0.0000	0.0000	3.1683	0.0000	0.0000	2.3400	11.6741	0.0000	0.0000	3.1367	4.6574
biochar_1583	26002	0.1739	0.0000	27.5874	11.3946	0.0000	0.0000	0.5750	0.8436	0.0000	0.0000	0.9330	3.4194	0.0000	0.0000	6.5402	2.3519	0.0000	0.0000	2.7222	1.0995	0.0000	0.0000	6.4446	0.0000	0.0000	0.6307	5.2081	0.0749	0.0000	14.2028	4.5371
biochar_1584	25999	0.1664	0.0000	14.3541	0.5300	0.1917	0.0000	7.4985	0.6183	0.0976	0.0000	1.9663	0.6664	0.0000	0.0000	11.7406	0.8262	1.3089	0.0000	14.1165	0.7655	0.1114	0.0000	12.5355	0.0453	0.0000	9.4563	1.3412	0.0000	0.0000	9.9964	1.0961
biochar_1586	25983	0.0000	0.0000	0.9555	2.7489	0.0000	0.0000	0.4365	2.0535	0.0000	0.0806	0.0324	9.0333	0.0000	0.0000	0.0148	0.6228	0.0000	0.0000	0.0000	0.0617	0.0000	0.0000	0.4404	0.0000	0.0000	0.0000	1.3968	0.0000	0.0000	0.1428	1.3503
biochar_1587	25979	0.0000	0.0000	1.6940	12.6302	0.0000	0.0000	1.2242	11.8636	0.0000	0.0000	0.1757	7.1156	0.0000	0.0000	0.5085	3.7484	0.0000	0.0000	0.4682	3.0259	0.0000	0.0118	1.9345	0.0000	0.0000	0.8160	5.0344	0.0000	0.1622	3.6111	12.2088
