contig	Length	B0H_BULK_S142_L006.vir.sortedIndexed.bam	B0H_BULK_S59_L006.vir.sortedIndexed.bam	B0H_VFD_S134_L006.vir.sortedIndexed.bam	B0H_VFD_S52_L006.vir.sortedIndexed.bam	B0L_BULK_S141_L006.vir.sortedIndexed.bam	B0L_BULK_S58_L006.vir.sortedIndexed.bam	B0L_VFD_S133_L006.vir.sortedIndexed.bam	B0L_VFD_S51_L006.vir.sortedIndexed.bam	B2R2H_BULK_S144_L006.vir.sortedIndexed.bam	B2R2H_BULK_S61_L006.vir.sortedIndexed.bam	B2R2H_VFD_S136_L006.vir.sortedIndexed.bam	B2R2H_VFD_S54_L006.vir.sortedIndexed.bam	B2R2L_BULK_S143_L006.vir.sortedIndexed.bam	B2R2L_BULK_S60_L006.vir.sortedIndexed.bam	B2R2L_VFD_S135_L006.vir.sortedIndexed.bam	B2R2L_VFD_S53_L006.vir.sortedIndexed.bam	B3R2H_BULK_S146_L006.vir.sortedIndexed.bam	B3R2H_BULK_S65_L006.vir.sortedIndexed.bam	B3R2H_VFD_S138_L006.vir.sortedIndexed.bam	B3R2H_VFD_S55_L006.vir.sortedIndexed.bam	B3R2L_BULK_S145_L006.vir.sortedIndexed.bam	B3R2L_BULK_S62_L006.vir.sortedIndexed.bam	B3R2L_VFD_S137_L006.vir.sortedIndexed.bam	B8R2H_BULK_S148_L006.vir.sortedIndexed.bam	B8R2H_BULK_S63_L006.vir.sortedIndexed.bam	B8R2H_VFD_S140_L006.vir.sortedIndexed.bam	B8R2H_VFD_S57_L006.vir.sortedIndexed.bam	B8R2L_BULK_S147_L006.vir.sortedIndexed.bam	B8R2L_BULK_S64_L006.vir.sortedIndexed.bam	B8R2L_VFD_S139_L006.vir.sortedIndexed.bam	B8R2L_VFD_S56_L006.vir.sortedIndexed.bam
biochar_1896	22933	0.0000	0.0000	4.0000	5.0000	0.0000	0.0000	12.0000	18.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	6.0000	8.0000	0.0000	0.0000	4.0000	1.0000	0.0000	0.0000	10.0000	0.0000	0.0000	16.0000	3.0000	0.0000	0.0000	8.0000	4.0000
biochar_1897	22932	2.0000	12.0000	156.0000	1195.0000	4.0000	30.0000	60.0000	2027.0000	4.0000	8.0000	58.0000	982.0000	2.0000	18.0000	103.0000	2071.0000	4.0000	2.0000	330.0000	2203.0000	4.0000	13.0000	95.0000	12.0000	28.0000	181.0000	2496.0000	6.0000	18.0000	124.0000	869.0000
biochar_1898	22908	2.0000	0.0000	144.0000	78.0000	0.0000	0.0000	121.0000	63.0000	0.0000	0.0000	30.0000	109.0000	0.0000	0.0000	94.0000	27.0000	0.0000	0.0000	257.0000	70.0000	4.0000	0.0000	354.0000	0.0000	0.0000	120.0000	53.0000	2.0000	2.0000	385.0000	113.0000
biochar_1900	22897	1.0000	1.0000	140.0000	556.0000	49.0000	12.0000	307.0000	154.0000	21.0000	2.0000	141.0000	595.0000	1174.0000	0.0000	108.0000	275.0000	12.0000	19.0000	445.0000	706.0000	9.0000	12.0000	937.0000	711.0000	102.0000	392.0000	760.0000	58.0000	20.0000	176.0000	347.0000
biochar_1901	22888	0.0000	0.0000	0.0000	28.0000	0.0000	0.0000	0.0000	16.0000	0.0000	0.0000	0.0000	54.0000	0.0000	0.0000	0.0000	6.0000	0.0000	0.0000	2.0000	72.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1261.0000	0.0000	0.0000	0.0000	42.0000
biochar_1904	22879	12.0000	0.0000	1628.0000	913.0000	22.0000	26.0000	1461.0000	2520.0000	8.0000	8.0000	472.0000	1474.0000	29.0000	12.0000	2989.0000	1654.0000	54.0000	30.0000	7825.0000	5259.0000	18.0000	16.0000	3394.0000	48.0000	39.0000	3112.0000	8841.0000	43.0000	37.0000	5084.0000	8837.0000
biochar_1905	22872	6.0000	31.0000	278.0000	496.0000	10.0000	18.0000	196.0000	1588.0000	28.0000	12.0000	111.0000	1112.0000	10.0000	14.0000	326.0000	1723.0000	24.0000	12.0000	621.0000	2274.0000	38.0000	25.0000	561.0000	22.0000	34.0000	198.0000	619.0000	22.0000	66.0000	447.0000	1129.0000
biochar_1906	22871	0.0000	2.0000	48.0000	476.0000	2.0000	48.0000	40.0000	1391.0000	0.0000	3.0000	6.0000	1174.0000	0.0000	30.0000	49.0000	462.0000	0.0000	4.0000	81.0000	342.0000	5.0000	8.0000	37.0000	4.0000	7.0000	28.0000	802.0000	2.0000	3.0000	56.0000	935.0000
biochar_1909	22838	3.0000	0.0000	11.0000	5.0000	0.0000	2.0000	18.0000	13.0000	2.0000	0.0000	8.0000	24.0000	2.0000	0.0000	51.0000	14.0000	0.0000	0.0000	34.0000	16.0000	0.0000	0.0000	27.0000	26.0000	0.0000	1785.0000	74.0000	2.0000	0.0000	65.0000	15.0000
biochar_1910	22820	0.0000	0.0000	104.0000	36.0000	0.0000	0.0000	24.0000	87.0000	0.0000	2.0000	9.0000	279.0000	0.0000	0.0000	579.0000	1216.0000	0.0000	0.0000	407.0000	1242.0000	0.0000	0.0000	209.0000	0.0000	2.0000	478.0000	1235.0000	0.0000	0.0000	188.0000	2058.0000
biochar_1911	22810	10.0000	14.0000	191.0000	1452.0000	6.0000	20.0000	47.0000	821.0000	12.0000	24.0000	79.0000	1649.0000	12.0000	34.0000	169.0000	945.0000	16.0000	16.0000	200.0000	851.0000	8.0000	18.0000	176.0000	35.0000	16.0000	151.0000	1202.0000	16.0000	31.0000	285.0000	2122.0000
biochar_1912	22801	14.0000	2.0000	52.0000	229.0000	2.0000	0.0000	16.0000	106.0000	4.0000	0.0000	6.0000	174.0000	2.0000	0.0000	32.0000	154.0000	0.0000	0.0000	60.0000	89.0000	0.0000	0.0000	70.0000	0.0000	0.0000	28.0000	114.0000	0.0000	0.0000	44.0000	64.0000
biochar_1916	22763	0.0000	4.0000	111.0000	899.0000	0.0000	2.0000	47.0000	1148.0000	0.0000	6.0000	34.0000	1259.0000	0.0000	1.0000	97.0000	557.0000	0.0000	8.0000	188.0000	1272.0000	2.0000	2.0000	94.0000	0.0000	2.0000	153.0000	1715.0000	0.0000	0.0000	181.0000	903.0000
biochar_1917	22747	12.0000	0.0000	1404.0000	653.0000	2.0000	0.0000	127.0000	72.0000	8.0000	0.0000	75.0000	120.0000	4.0000	2.0000	703.0000	338.0000	0.0000	0.0000	353.0000	104.0000	10.0000	0.0000	497.0000	2.0000	0.0000	164.0000	196.0000	6.0000	0.0000	301.0000	158.0000
biochar_1918	22738	2.0000	0.0000	139.0000	93.0000	0.0000	0.0000	117.0000	76.0000	0.0000	0.0000	32.0000	143.0000	0.0000	2.0000	103.0000	151.0000	0.0000	0.0000	62.0000	12.0000	4.0000	0.0000	189.0000	2.0000	0.0000	41.0000	44.0000	0.0000	0.0000	81.0000	12.0000
biochar_1919	22722	8.0000	0.0000	1930.0000	4.0000	15.0000	0.0000	386.0000	0.0000	9.0000	0.0000	130.0000	2.0000	4.0000	0.0000	203.0000	0.0000	1.0000	0.0000	371.0000	0.0000	36.0000	0.0000	855.0000	0.0000	0.0000	107.0000	0.0000	4.0000	0.0000	385.0000	0.0000
biochar_1920	22697	2.0000	2.0000	169.0000	931.0000	0.0000	0.0000	100.0000	1596.0000	0.0000	2.0000	36.0000	1823.0000	0.0000	0.0000	87.0000	358.0000	0.0000	0.0000	30.0000	8.0000	16.0000	0.0000	136.0000	0.0000	0.0000	8.0000	0.0000	0.0000	0.0000	8.0000	2713.0000
biochar_1922	22689	10.0000	3.0000	613.0000	682.0000	6.0000	8.0000	672.0000	1130.0000	9.0000	12.0000	129.0000	1220.0000	2.0000	6.0000	828.0000	1700.0000	16.0000	3.0000	1196.0000	930.0000	13.0000	4.0000	550.0000	20.0000	11.0000	294.0000	596.0000	5.0000	24.0000	919.0000	920.0000
biochar_1925	22670	0.0000	0.0000	61.0000	1100.0000	0.0000	6.0000	48.0000	1047.0000	4.0000	18.0000	30.0000	1683.0000	0.0000	0.0000	28.0000	390.0000	0.0000	6.0000	120.0000	2845.0000	4.0000	0.0000	187.0000	0.0000	4.0000	131.0000	744.0000	2.0000	0.0000	172.0000	428.0000
biochar_1926	22670	4.0000	0.0000	1927.0000	0.0000	9.0000	0.0000	429.0000	0.0000	6.0000	2.0000	179.0000	4.0000	0.0000	0.0000	242.0000	0.0000	0.0000	0.0000	411.0000	0.0000	39.0000	0.0000	788.0000	0.0000	0.0000	113.0000	2.0000	2.0000	0.0000	421.0000	2.0000
biochar_1927	22654	4.0000	2.0000	1221.0000	111.0000	10.0000	0.0000	387.0000	138.0000	41.0000	2.0000	431.0000	113.0000	10.0000	4.0000	529.0000	159.0000	114.0000	0.0000	1825.0000	117.0000	78.0000	0.0000	1768.0000	26.0000	0.0000	584.0000	553.0000	2.0000	4.0000	1144.0000	478.0000
biochar_1929	22630	0.0000	0.0000	77.0000	4.0000	0.0000	0.0000	11.0000	74.0000	0.0000	2.0000	34.0000	60.0000	0.0000	0.0000	1.0000	16.0000	0.0000	0.0000	1.0000	2.0000	6.0000	0.0000	152.0000	2.0000	0.0000	20.0000	72.0000	0.0000	0.0000	227.0000	310.0000
